,rank,name,country_id,totalPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,wonPct
0,1,Roger Federer,SUI,471,11,6,0,22,0,39,71,456,776-156,83.3%
1,2,Novak Djokovic,SRB,457,12,5,0,26,0,43,61,395,613-113,84.4%
2,3,Andre Agassi,USA,253,6,0,0,14,1,21,46,129,596-159,78.9%
3,4,Rafael Nadal,ESP,232,5,0,0,10,1,16,22,24,488-138,78.0%
4,5,Pete Sampras,USA,229,7,2,0,8,0,17,36,331,426-103,80.5%
5,6,Ivan Lendl,USA,199,5,0,0,8,0,13,31,296,390-83,82.5%
6,7,Andy Murray,GBR,189,1,1,0,12,1,15,34,25,455-131,77.6%
7,8,Jimmy Connors,USA,186,3,0,0,7,0,10,45,440,530-112,82.6%
8,9,Stefan Edberg,SWE,141,2,0,0,4,1,7,23,99,387-104,78.8%
9,10,John McEnroe,USA,132,4,0,0,6,0,10,22,146,288-66,81.4%
10,11,Andy Roddick,USA,110,1,0,0,5,0,6,21,6,424-138,75.4%
11,12,Lleyton Hewitt,AUS,103,1,2,0,2,0,5,20,65,370-157,70.2%
12,13,Boris Becker,GER,93,3,0,0,5,0,8,16,4,219-64,77.4%
13,14,Juan Martin Del Potro,ARG,85,1,0,0,1,0,2,18,0,309-119,72.2%
14,14,Michael Chang,USA,85,0,0,0,7,0,7,21,0,408-171,70.5%
15,16,Rod Laver,AUS,83,0,0,0,4,0,4,26,222,177-39,81.9%
16,17,Jim Courier,USA,82,2,0,0,3,0,5,17,4,292-120,70.9%
17,18,Mats Wilander,SWE,69,2,0,0,5,0,7,9,0,186-74,71.5%
18,19,David Ferrer,ESP,60,0,0,0,1,0,1,12,0,346-199,63.5%
19,20,Stan Wawrinka,SUI,58,2,0,0,0,0,2,9,0,309-176,63.7%
