,name,Record Holder 1,Country 1,Detail 1,Winning Streak,Record Holder 2,Country 2,Detail 2,Record Holder 3,Country 3,Detail 3
1,Grand Slam Winning Streak,Novak Djokovic,SRB,2015 Wimbledon - 2016 Wimbledon,30,,,,,,
7,"Big Tournament Winning Streak (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,2014 Paris Masters - 2015 Roland Garros,43,,,,,,
14,Hard Winning Streak,Roger Federer,SUI,2005 Rotterdam - 2006 Dubai,56,,,,,,
15,Clay Winning Streak,Rafael Nadal,ESP,2005 Monte Carlo Masters - 2007 Hamburg Masters,81,,,,,,
16,Grass Winning Streak,Roger Federer,SUI,2003 Halle - 2008 Wimbledon,65,,,,,,
21,Winning Streak Vs Top 5,Roger Federer,SUI,2003 Masters Cup - 2004 Masters Cup,15,,,,,,
22,Winning Streak Vs Top 10,Roger Federer,SUI,2003 Masters Cup - 2005 Australian Open,24,,,,,,
23,Winning Streak at Single Tournament,Rafael Nadal,ESP,2005 Monte Carlo Masters - 2013 Monte Carlo Masters,46,,,,,,
25,Winning Streak at Single Masters Tournament,Rafael Nadal,ESP,2005 Monte Carlo Masters - 2013 Monte Carlo Masters,46,,,,,,
26,Winning Streak at Single ATP 500/CS Tournament,Rafael Nadal,ESP,2005 Barcelona - 2014 Barcelona,41,,,,,,
2,Tour Finals Winning Streak,Ivan Lendl,USA,1985 Masters - 1988 Masters,15,Novak Djokovic,SRB,2012 Tour Finals - 2015 Tour Finals,,,
11,Davis Cup Winning Streak,Bjorn Borg,SWE,1973 Davis Cup EUR - 1980 Davis Cup EUR,29,Rafael Nadal,ESP,2004 Davis Cup WG - 2019 Davis Cup Finals,,,
20,Winning Streak Vs No. 1,Ivan Lendl,USA,1981 Masters - 1982 Masters,5,Boris Becker,GER,1988 Wimbledon - 1990 Stuttgart Indoor,Rafael Nadal,ESP,2005 Roland Garros - 2006 Roland Garros
